Оценка,Положительный отзыв,Отрицательный отзыв
8,"Location good.
Comfortable room.
Friendly staff
Clean room.","Bit pricey
Breakfast could have been more extensive"
7,"Nice staff, comfy beds. Our request to be moved to a room with sunlight was immediately accommodated. The location is exceptional! Right by the tube station with access to the Piccadilly and district line. Walking distance to various attractions.","The first night we were in a basement room, no sunlight whatsoever. For 180 £ a night I did expect more, but then again it’s London and a rather expensive area. The breakfast was not good at all, very bland and few choices. I recommend going to one of the nearby cafes."
7,Good beds,"Very difficult for aged people to get up from a rather slippery bathtub. Breakfast ok, but not great."
9,The hotel is a 5 minute walk subway,We have nothing negative to say about the hotel
8,"Arrived at 9am, and they were able to find a room available so we did not have to wait until 2pm. We were able to sleep as we had been traveling on a plane all night. The restaurant was there and very good as we had not planned on sightseeing, just staying overnight.","The room was very small, with luggage we could not move around, however we’re happy to get in early so it was only one available."
8,Great location for underground and several bars etc close,nothing
8,Good location for our arrangements. Friendly staff and nice sized room. Had a very nice meal at Turmeric Kitchen in hotel and good breakfasts. Would recommend.,Would rather have had a non disability bathroom but we arrived early and assume this one was available.
7,"I booked a four night break to celebrate my partners birthday, Elis the receptionist was very helpful and friendly, she upgraded our room and sent up some wine, breakfast was good, location was 2mins from Earls court station.","I booked this hotel because of the reviews, and it stated the the rooms had sound proofing, this was clearly not the case we were awoken several times on the first night by the person in the next room slamming doors, and talking which we could clearly hear, we had the same thing on the last night. 
Also, we found stains on the carpet which had a gap next to the wall, the windows were dirty. There was a spare bed, and mattress stored in front of a window in the hallway. We found the menu very limited if you don't like Indian cuisine. It was nice to have complementary soft drinks in the room but no bottle opener provided.
We felt the hotel was in need of an upgrade and a bit more attention to detail was needed."
8,"Close to the station, friendly and helpful staff who arranged taxis for us. Nice bathrobe and slippers to use.",Had a weird skylight in our room that looked like it was taped up with masking tape.
9,"great location, really nice staff","rain shower head wasn’t cleaned once and was dirty on our arrival, couldn’t use it al all during the trip and it made the shower feel dirty"
9,"Helpful, responsive staff",Отрицательный отзыв отсутствует.
9,"Location, ambience, customer service","Beds a little hard for me (personal preference)
Carpet's need a good vacuum"
8,Good friendly helpful staff,Отрицательный отзыв отсутствует.
8,"Friendly, helpful staff.
Clean, quiet room. We liked the underfloor heating in the bathroom
Convenient for the tube",Breakfast was good value but not interesting
9,"Ample amenities in deluxe rooms - kettle, microwave, strong WiFi, international plugs, good water pressure, nice views on a peaceful street, bathrobes! This plus the location -- direct on the Picadilly Line from both Heathrow and St. Pancras, easy walk to Kensington High Street -- make for a perfect base in London. Staff extremely kind and helpful.",Mattresses could use an upgrade. Could be an issue for anyone who needs firm support. OK for a day or two.
7,"Excellent location near Earl's Court station. The second room we got was decent. The first one, see below.","We arrived quite late in the evening and apparently the hotel was fully booked, so we got the absolute worst room in the building. I won't post pictures of the ""view"" and where it's located, but that room should not be available for paying guests. I'm not picky, in fact the staff also seems to be well aware of how bad it is, because the next day we were given a decent room without even asking. On one hand it's nice of them to rectify the situation, but on the other hand taking money for a room like that is quite shady."
7.5,Location,Dusty
8,"The location is fantastic, it is very close to the tube. The staff is friendly and helpful and sorted a problem in the bathroom right away. Breakfast was ample and good.","Our room was a bit difficult to get to, one has to go up and down some steps and corridors. Definitely an exercise for navigating, but not a big deal."
8,Nice and clean. friendly staff,Room was a bit small
8,"Excellent location for tube. Room and hotel was quiet at night. All the staff were extremely efficient, friendly, polite and helpful.","Our bath floor felt very slippery when wet after a shower - perhaps some sort of small rail to help get out would be helpful. 
The hot food at breakfast could be a bit hotter."
9,"Very nice rooms, good size (for London), very attentive and kind personnel. Thanks indeed to Elis from the reception, who offered us 2 rooms together and upgraded, thanks to Svilen, but I can say the whole staff is very nice, smiling and supportive. 
The hotel is just 3 min walking to Eearl's court underground station and 7 min to touristic bus.
Good and tasty breakfast buffet","Toiletries of average quality, the bath tube had low pressure, which was fixed after we claimed"
9,Fantastic location. Two minutes walk from Earls Court Underground. It was great!,Отрицательный отзыв отсутствует.
8,"Good breakfast, good service, good housekeeping",Отрицательный отзыв отсутствует.
7,"location was good , very decent room for the money too.",couldn’t complain for value
8,"The breakfast was very good, there was a large choice of food .",Отрицательный отзыв отсутствует.
8,Staff were very friendly and accommodating and offered complementary items. Breakfast was also very good and chefs we're accommodating for dietary requirements. All very professional.,"Bed needed new mattress, was significantly sunken in middle. 
No view our of window, was just a walled area. However we understand that some rooms will be this way."
7,Location and staff,"Parts of the coridor to the room including the lift was dirty, old and very unpleasant and we initially thought that is part of the back stage of the hotel.
Other than that, all was great."
7,Location - good breakfast,Отрицательный отзыв отсутствует.
8,"very clean, staff very polite and a great location probably 5 minutes walk from Gloucester Road underground",The bar closed very early probably around 10pm every night
7,The bed in our room was good and staff very helpful and lovely,Breakfast was not what to expect in a 4* hotel. Not worth the money.
8,"Good location close to underground and eateries. Warm, comfortable room. Very welcoming and helpful staff. Good value breakfast. Very nice mini eclairs in reception!",There was a slightly fusty smell in the bathroom. We mentioned this to reception as we were leaving and no doubt it was dealt with.
8,Near to the tube,"They tried to give me a room without window but I didn‘t accept it.
We WLAN is insecured (!) and very slow."
9,Great location & friendly staff,Отрицательный отзыв отсутствует.
7,"breakfast good, bed comfy, room good size and lots of good plug/charge options, really nice shower","pillows not great, bathroom desperately needs a shelf (a bit of space round the sink where things get splashed is not good enough) and the hooks and towel rail made for 6' tall people! Wifi not fast either, and not secured."
8,"Location: within 5 minutes you're at Earl's Court station. Good places to get something small to eat (breakfast or lunch)
Gloucester Road station isn't too far away, but is a short walk (it is the next station). 
Kensington Gardens is within a short distance and easy to reach on foot, as well as Kensington Palace. 

Reception: very motivated and friendly receptionists and I found them very helpful and efficient.","The maid had not been too thorough cleaning the bathroom corners (near the sink). If a toothbrush or a small article falls between the shower and the sink, you might find some unpleasant proof of a former occupant. 

All the sheets should have been changed by the maid, and not only the top one. 
Often the cleaning staff don't speak English well, so it should be communicated to them that fine establishments have guests that are happy to pay for immaculate rooms (and beds). 

We had a Deluxe Double room. This was a bit smaller than a similar establishment I stayed in near King's Cross (with a similar price class), as the bathroom was much smaller at the Park Grand. There is not much room for cosmetics and travel accessories in the bathroom. For a few days, this is ok."
8,A very quiet but convenient location offering comfortable rooms and a good breakfast facility,Rooms are a little small and more thought could be given to the positioning of the wardrobe right next to the bed which makes for a tight space with difficult access to the cupboard and hanging area. Opposite the end of the bed next to the desk would be a better place for the wardrobe with the TV on an angled bracket next to the bed or over the desk - think about it please!
8,"Well presented, clean, friendly staff and right near Earls Court Sation.",No issues.
8,"The location in the Kensington quarter was great, 4-minute walk from Earl's Court on Piccadilly Line, and lots of good options nearby. Bathroom was clean and nice.",Wifi was slow and not usable. Reception area was rather small with not much seating space for more than 3 people to be waiting for a cab etc.
8,"Park Grand Kensington has a lovely staff - intelligent, interactive and caring. Nelly in reception is quite outstanding. Breakfasts were very good, including fresh fruit and a comprehensive range of cooked items. Coffee and tea was provided at reception during the day as were daily papers. Evening meals provided a reasonable menu from which to choose with particular emphasis on Indian dishes. We met some really interesting people at Park Grand Kensington, especially from countries other than UK.",Perhaps the evening menu in the dining room could be extended a little yet without losing quality - eg non-Indian vegetarian dishes.
8,"the location!! really close to Earl’s Court Station, there’s loads of restaurants/pub nearby. very quiet area!",maybe the room allocated (room 007) it’s not that we expected though 😒
8,good shower nice room plenty tea and coffee,Отрицательный отзыв отсутствует.
8,"Staff, location and spacious well equipped room.
Great having a small fridge and microwave to use.",Beds and pillows bit hard
7,"good location, pretty cheap for the standard","put in a basement room,dungeon like, next to a door and some sort of store room, so a bit noisy,"
7,"I was Upgraded to another room because I was going to leave the hotel when arrived as the room offered wasn't great at all. However, the staff handled the situation perfectly and addressed my concerns which resulted in a great stay.

The room was spacious and the team very friendly and helpful. They couldn't do enough to make my stay comfortable.","The range of food on the menu was limited. Communal areas were limited, small area in reception only. An old bed was pressed against a space on one of the floors (my original room) which wasn't great to see (edges fraying etc)."
8,"Great location. Stylish room, if a little small. Super clean.",Bed wasn't the most comfortable ever
8,"Excellent location, friendly staff and clean room.","Bed could have been bigger, I'm used to at least a king size"
8,Положительный отзыв отсутствует.,Bar closed before ten o’clock the one night we came back early which was a pain.
8,"Nice big room which was tidy and looked newly decorated. 
Good restaurant with lovely choice of fresh and cooked food for breakfast.",Отрицательный отзыв отсутствует.
8,nice and easy to tube station,on bottom floor no window
8,"location, cleanliness",na
9,I liked the friendly staff and the gentleman that checked us in was very welcoming and helpful. Room was very comfortable and breakfast was delicious.,Отрицательный отзыв отсутствует.
7,"staff were welcoming, friendly and kind. call to the room to make sure you were settled. Great breakfast with hot and cold options. 2 minute walk to Earl’s Court underground station. some nice places to eat within 2 mins. beds are comfy. great shower.",The bedrooms were t as modern/updated as I had imagined from photos. starting to look a bit worn. the reviews are definitely for the staff. Bathroom is nice. quite expensive in comparison to slightly more updated hotels.
8,Super convenient t use Earl's Court Tube and easy access to Heathrow Airport on the Piccadilly line. Good restaurants and pubs close.,Room was a little small and only had one chair to sit in.
7,"Location great, stuff super nice",bed not so comfy
9,"Excellent customer service, very kind and helpful staff who paid attention to me when I was feeling unwell.
Brilliant location","As a regular, disappointed the price has increased considerably.
Pillows not comfortable, - flat and old."
7,"The room was fine. The bathroom was very good - clean, good lighting, good shower. Really liked the newspapers in the lobby. Happy to see the binder with neighborhood recommendations and other info.","Wifi was not strong enough, spotty reception. Neighborhood was a bit further from events and sights than we realized. Stairs to enter the building were not convenient for older travelers or people with heart conditions like my companion. Another guest carried her luggage up. Very kind of him."
8,"Staff. I’d just arrived to my Room and I received a call. The previous guest had misplaced his IPad and the Housekeeping staff wanted to check the room to make sure it wasn’t there. There was no sign of the IPad. 
About 1 hour later I received a knock on my door with a complementary bottle of Wine and a note for complementary breakfast the following morning to compensate me for the earlier disturbance. Fantastic gesture by the Hotel staff.",N/A
8,very central for tube,Отрицательный отзыв отсутствует.
8,"good value for money 
close to tube station",nothing
8,"The staff were outstanding, very efficient, friendly & helpful. Everyone we came in contact with. It was busy when we came back to get our rooms, it looked like one of the receptionist was about to leave but she took her coat off and stayed to help clear the queue. Above and beyond!",Nothing
8,room,hall way there were tissue on the floor
7,Положительный отзыв отсутствует.,room a bit small and bed rolled you in to the middle of the bed
9,"Park Grand London Kensington is in a great location 2 minutes walk to the underground station Earls Court and within walking to shops/cafes/restaurants. I would stay there again, the room was a decent size and the bathroom too. The room was kept clean on a daily basis by staff. Thank you for an enjoyable first stay in London!",Отрицательный отзыв отсутствует.
8,Room very clean great shower. Free water and coffee everyday. Good location 1 minute away from nearest tube station,Отрицательный отзыв отсутствует.
8,"Shower excellent, comfy bed, decorated room for my birthday, staff excellent, location perfect 3 min walk to Earl’s Court tube.","Had to unplug fridge as it buzzed, floor in bathroom became slippy after shower."
7,the location,the breakfast was very bad and the price is to much .
8,Perfect location by Earls Court Station.,more healthy options for breakfast
8,Ease of getting around and room was great. Staff were lovely and it was clean.,The beds was slightly uncomfortable as you could feel the metal join keeping the queen bed together so it stuck in you if you lay near the middle.
7,Staff were very helpful and friendly we had a small room ( my husband has mobility problems) asked to be moved the next morning no problems couldn't be more helpful,Air con was a bit tricky
7,"Room was clean and comfortable 
Staff were very friendly and helpful",The subterranean room. A room with a window would have made a lot of difference. Furnishings looked a little tired in places.
7,"Room size and facilities were very good and comfortable, as was the price for a large double.",Отрицательный отзыв отсутствует.
8,the location and the staff were good.,The room was not cleaned very well and often enough.
8,very close to Earl’s Court tube station,second floor onto road was a bit noisy
8,"great location. lovely staff, very helpful. good value for money. nice size bed, & comfy. fresh bottled water left daily.","would be nice if housekeeping changed bedding, wasn’t changed once in my 3 nights. hallways and decor is a bit run down. walls are thin but wasn’t too disturbing that it ruined the trip. some traffic noise kept me up at night as my room was at the front ground floor. nothing that would stop me staying again though, good value for location & price"
8,Brilliant location. Staff were very helpful with checking in and checking out. We were able to leave our bags after checking out so that we could still enjoy a full day.,No real issues. If you are a light sleeper then you may not like how thin the walls are but it’s not really an issue as most people are respectful and quiet.
7,"The room was clean, microwave in room and shower room was okay. The staff also made sure our bub had a cot which was really nice","We specifically chose this hotel as its advertised that breakfast is halal and there is a sign on the resuarant door showing they serve halal … however at breakfast there was pork sausages, salami, bacon the works … very disappointing when we asked the chef if there was halal options he asked us what halal meant. The windows to the room also are very large and you can see into peoples homes, it’s not the hotels fault just a word of warning if you like privacy in your room, otherwise the room itself aswell as the facilities within we’re okay for what we needed."
8,easy access from train,Отрицательный отзыв отсутствует.
7,Great location next to the underground. Pubs and restaurants and fast food outlets nearby,Отрицательный отзыв отсутствует.
8,We weren't happy being down in the basement and we were moved upstairs to smaller rooms but with a window.,Being in the basement although the room was very nice.
8,"Good value, clean hotel. Staff nice.",One day the room was not cleaned until 9 at night despite calling 3 times about it in the afternoon and evening.
7,"Room - upon arrival we were upgraded to a larger room - still not a very big room but did the trick for us as we did not spend a huge amount of time there - bathroom perfect lovely shower - room was cleaned daily but teabags/milk ect were not replaced
Location - ideally located near Earl's Court tube station and a short walk from Kensington
Staff very accommodating and friendly","I do not agree with the 4 star status of this hotel, it's more likely to be a three (walls on stairs approaching rooms were badly scratched). Some areas appeared scruffy like the decór could do with a freshen up. Rooms are limited in terms of space.
Still an ideal stay for a couple of sightseers"
7,Easily accessible location and the room was neat and clean.,A bit noisy at times and we were very close to a staff break area which meant the hallway and sometimes the room smelled a bit of cigarette smoke.
7,"pleasant staff
nice buffet breakfast","very small room, creaky floorboards, gap under door letting light and noise in.
cleaners started quite early for a Sunday"
7,Good location. Clean room.,Small room. Service not ideal - asked for some more milk and tea bags but these weren't forthcoming and too slow
8,The size of the room and the location.,The breakfast was horrible.
8,"Good location for the Albert Hall.
Breakfast was very good with plenty of choice.","Room was smaller than we expected, bathroom very small."
8,clean and right by tube,it’s a bit deceptive with its name Kensington ? it’s not in Kensington it’s off Earl’s Court road. quite a difference. if you are not familiar with London you would be disappointed you weren’t in Kensington
8,"Room facilities were excellent, recently refurbished and included a fridge, safe, microwave oven, iron and hairdryer. Price of room and breakfast provided great value for money. The hotel is very close to Earl's Court underground station.",The lift was very slow - a minor problem.
7,"location was really amazing and convient next to the Main Street where you can find market train station beauty salon and much more the room was small but clean and they provided us with a baby cot. we ordered coffee for us , a glass of warm milk and some toasts for the baby three times and the staff at the restaurant didn’t change us for it which was very kind and nice of them so over all it was a pleasant and good stay and staff were helpful.","room was too small 
and there was no coffee shop only one restaurant."
7,"Location, perfect for getting around central London. Gym facilities were useful but limited if it had been busier. Staff friendly and very helpful. Upgraded us to much bigger room. Price, less than 400 for 4 nights in such a great location.","Hotel really needs a refurb, fixtures and fittings and decor quite worn out, but we did pay less than 400 I guess. Although we were really pleased to get an upgrade to a much larger room it was on lower ground floor so no windows."
8,All good 👍,Отрицательный отзыв отсутствует.
9,Nice staff and good location and good facilities,Everything
7,very basic but functional,bar staff could be hard work
8,"Comfy room, good breakfast , good location","Just one lift 
The young guy serving us breakfast had awful body odour put us off our breakfast"
8,"Have stayed here numerous times. Location is excellent near Earl's Court Tube station. Pleasant, safe neighbourhood. Bed excellent. Love fact room has microwave. Staff very helpful. Quiet location.",The hotel is getting very dated. Stains on carpet and public areas beginning to look shabby for a 4* hotel. Rooms also beginning to date with fixtures and carpets needing upgrading. Wi-fi is poor.
9,The staff were very friendly and helpful. It was good location wise as tranport links were nearby. They had chocolates and champagne out free for the guests as it was Valentines. A nice selection of breakfast.,The room was quite small and didn't have a lot of desk space. The bar closed at 10pm which i thought was quite early. The fridge kept making a rattling noise which kept me awake at night.
7,Clean room,Noise from cleaner early morning outside my room
8,"Great location, facilities",wifi occasionally kept dropping
7,Room was well appointed & a good size for London,Bar closed early - difficult to get a drink past 10pm.
8,Lovely hotel in excellent location. Staff were very friendly and helpful and there was a good selection for breakfast.,"Our room was on the small side but as we were only staying one night that wasn’t too much of a problem, had we been staying longer it might have been."
9,Central location next to multiple tube lines. Staff were pleasant and helpful,"Double bed was 2 single beds pushed together, leaving a lumpy middle section"
9,Never tried the breakfast,Отрицательный отзыв отсутствует.
9,"Excellent location, plenty of Asian restaurants nearby, and near the tube station as well. 

Very presentable hotel, it stands out among other hotels in the area. Our room is clean, comfortable, and modern. I did not expect that housekeeping will include refilling our tea trays and water bottles-I really appreciate that. 

Staff were pleasant, helpful, and looks smart. 

Breakfast was good enough as well. 

It was a wonderful stay and I’d definitely choose this hotel when I visit London again!",Отрицательный отзыв отсутствует.
8,"Excellent location ,and staff were really friendly and eager to please/help. Great price for that part of London.",situation of room had no lift access and reached by several flights of stairs (up and down). Room fine but we assume that it was in an older/tired part of hotel.
9,Shoutout to the the team working there and especially Karina who is a gem! Great room for value!,Отрицательный отзыв отсутствует.
8,"Location
Helpful staff",Noise from air conditioning units
7,the cleanness and staff behaviour.,The breakfast and the beds in the rooms were not comfortable at all..
8,"Friendly staff, clean facilities, good location for getting around. Good breakfast and good value overall for a London hotel",The bar closed at 930pm on the night we used it which was was a little early but not a deal breaker.
8,Положительный отзыв отсутствует.,Bed is too small
8,"Good location close to tube station , nice facilities",Отрицательный отзыв отсутствует.
9,convenient location and value for money,staff not always very helpful with basic information like parking and directions
9,Easy access to the underground and in a fairly quiet area. Friendly staff.,Отрицательный отзыв отсутствует.
7,"clean
value for money
good location",no bar open
7,"Modern and spotless, however not enough storage space in room or bathroom, breakfast was below average for Michelin hotel.",As above.
8,"Staff were friendly, very helpful and nothing was too much trouble for them. Breakfast was excellent. Rooms were clean and were of a good size. Close proximity to Tube Station also.",Отрицательный отзыв отсутствует.
9,"the service is good when they are properly staffed, microwave is a nice touch","housekeeping is inconsistent, they don’t change bed sheet after some tea was spilled on it, they don’t refill the water after, the water from the tap is also not very drinkable"
7,location,"club room- had to ask for the advertised additionals as they weren’t present in room. apparently they don’t put fruit in room because of covid. fair enough, but then you have had nearly two years to change this information on the website"
7.9,Great room,Staff are not well informed
7,"reception staff. courteous, clear and professional. the room was spacious and very clean in spite of having a somewhat worn sofa. not having a window was unusual but the aircon was efficient",no window in room
8,"The hotel was in the perfect location for an event that I had. It was a great price, especially for London and in December. Would definitely book again!",Could of done with some extra pillows but other than that everything was great!!
8,great location,Отрицательный отзыв отсутствует.
7,nice comfy hotel,"Nothing really I didn't like, just felt the hotel was a little tired and needed re decoration."
7,Breakfast ( continental ) very good and more food than I expected...shower excellent ...service very good,Furniture a little outdated and not spotless ..carpet had stains
9,"Excellent location for visiting London, room adequate size and clean. Good breakfast, very reasonably priced compared to other hotels or going out to a cafe. Restaurant and reception staff exceptional.",Nothing.
8,bed was really comfortable,the pigeons cooing outside the window and the empty cigarette packets outside the window
8,Положительный отзыв отсутствует.,Only one lift and is a bit small
7,Good hotel location and once I was allocated the standard of room that I had originally paid for I was satisfied with the facilities and cleanliness of the room.,On arrival at the hotel I was told I had been upgraded to a bigger room. The room I was allocated clearly was not an upgrade and was of a very poor standard and not acceptable for the money I paid. Thankfully the staff at the hotel changed my room but this shouldn't have happened in the first place.
8,Good affordable hotel. prefer the larger room.,I had problems with water pressure. couldn’t take a proper shower
8,"Great location! Good budget hotel if you don’t need much space. For me, it didn’t have a 4 star feeling but I guess I am just spoiled ;)","wifi was slooooow! internet would drop out all the time. couldn’t watch Netflix properly. 
carpets are off putting throughout the building. i had stains on the walls in the room. 
staff didn’t wear masks behind the reception at check in and one of the member of staff. 
called room service a few times but no one picked up."
8,Staff very helpful and friendly. The hotel was kept spotless and we thoroughly enjoyed the breakfast.,"Room could be a bit bigger, pillows not the best and we had trouble with our card for room entry three times"
9,"Hotel and staff were great, we stayed here for our anniversary and they really made an effort to make it special.","Only thing that comes to mind is that the mattresses were not the most comfortable I've experienced, otherwise everything was good."
8,"The laptop size safe is must these days, the fridge is a bonus and an extra reason to choose this hotel/room, great shower for a change as so often they are weak, good comfortable bed although this is down to personal comfort.
2 minute walk to underground station.","Had problem with connectivity of the wifi. On new ipad it was great, my old mini ipad it was in and out, and on our cheapish smart mobiles they just would not connect."
7,I was bumped up into the next category room for no extra cost!,Отрицательный отзыв отсутствует.
8,The bathroom was lovely and the bed was very comfortable!,the room was slightly small but wasn’t a problem
8,"bed = comfortable
very clean
well kept 
bathroom lovely
staff friendly 
location good access to Kensington high street and Earl’s Court",nothing the only thing I could fault was that the lift smelt horrible when I got in it
8,"- receptionist offered toothpaste when I asked
- the Indian restaurant is AMAZING, and quick delivery
- The staff","- A bit run down and needs refurbishing 
- the green light that appears in the room"
8,Location,Отрицательный отзыв отсутствует.
8,"Cooked breakfast ,coffee. Staff helpful.",Better selection /choice of fresh fruit at breakfast.
7,location n cleanliness,quiet
7,Положительный отзыв отсутствует.,The mattress had a dip in it- needs changing.
9,The room was very clean and the staff are excellent and friendly. The hotel is well located - close to shops and the underground.,The rooms are a bit small and crowded. Decor is a bit dated.
9,"The staff were very polite and accommodating,",Отрицательный отзыв отсутствует.
9,the staff was amazing and the hotel room was very clean,Отрицательный отзыв отсутствует.
7,yes,"They didn’t clean up the towels or the sheets, they just hanged them back up again."
7,Room comfortable and a nice breakfast,Отрицательный отзыв отсутствует.
7,"Staff were friendly, room met expectations",Walked through a maze to get to my room
8,Good location and nice breakfast.,The shower could have been cleaner. Could have done with an extra pillow.
8,Положительный отзыв отсутствует.,Slow wifi
7,"Good location, lovely bathroom and shower","The bed was very small and the hotel very noisy, lots of doors slamming into the small hours."
8,location,small bad in double room for 2 persons
9,Staff was polite very helpfull breakfast buffet had a very good selection and the staff very attentivr good location close to underground,A leak in roof in reception water dripping onto floor no safety signs after check in had to wait for card keys crack in sink in bathroom not told about light system for getting room cleaned had to hold top of fridge to open door
8,"Staff were helpful, room was very clean and found the bed comfortable and great pillows. Great restaurant downstairs which was reasonably priced and bar. Room was also cleaned daily.",Wasn’t overly keen on location but that is nothing to do with hotel.
8,"Comfortable, clean, quiet and modern room with great shower",Quite a few guests not wearing masks in the public areas.
8,Excellent location and very clean hotel,Отрицательный отзыв отсутствует.
9,"Comfortable bed, large room friendly staff. Extra touches such as water bottles, fridge and microwave.",Bathroom shower head could have been a tad cleaner and a full double bed rather than 2 singles pushed together would have been better.
9,We loved the location. It was beautiful and didn’t feel too touristy and crowded but was very close to an underground station. Lots of excellent restaurants nearby. The staff was very friendly.,The bed was not very comfortable and the room was a little small making it hard to navigate we our large bags but overall still great!
8,Положительный отзыв отсутствует.,bathroom smelt of smoke
7,Положительный отзыв отсутствует.,Found the room bit small & needing update .
7,Good location.,Noisy doors closing.
7,near underground,small room
7,"quite close to everything in London, great location",only tv channels
9,Good and nice hotel,Elevator too small
8,The facilities were very clean and modern. The staff on the front desk are helpful and friendly. It’s handy for the underground and there are local amenities to hand.,The bathrooms are quite small but for 1 traveller it was fine. The pillows weren’t the best.
7,Room was nice and clean.,There was only one lift available for the whole building which was inconvenient at busy times.
9,The breakfast was really good and plenty to choose. The towels were soft and large and we had everything we needed in our room. The bed was was very comfortable.,"The pillows - rather flat and thin, could hace done with an extra one."
7.5,Lovely clean room! Great location!,Отрицательный отзыв отсутствует.
7,Good location for buses and tube,Hotel decor abit tired in places..would say more of a 3 star
7,"staff were excellent, friendly and helpful. Location was perfect and was close by to nearest tube station.","We were give a room in the basement with no windows, no view and it felt a little claustrophobic."
9,"Fantastic location, friendly staff, clean and comfy room, good breakfast",Отрицательный отзыв отсутствует.
8,"Breakfast was plentiful. 
Concerns that we had were dealt with courteously.",Room was not very large for de luxe. Very small en suite.
8,excellent and friendly staff.,Not to be able to open the front facing window.
9,Very professional service offered and very clean and great facilities!,Lack of a mattress topper was slightly unhygienic but that was the only issue.
7,Location.,Buffet breakfast very ordinary.
9,This is a stylish hotel with great staff,Отрицательный отзыв отсутствует.
9,"Conveniently located, 2 minutes from Earls Court tube. Bed very comfy, shower good and breakfast nice.","Roomservice staff didn’t replenish tea and coffee daily, other than that, all good."
9,"It was my birthday on the day of staying and they left me a card chocolates wine and balloons! was very
sweet. The bed was huge and so comfy. Will defo be back!",Отрицательный отзыв отсутствует.
8,"Contemporary, Modern feel & Very attentive staff.",Buffet breakfast could have a little more options. And lighting flicking in room nothing that can't be fixed:)
8,"Room was great, fully equipped, comfy bed and bath as I requested!
Staff were polite and helpful",Signage in the hotel and lifts wasn’t good
9,"We had a wonderful queen room, with fabulous bathroom, mini fridge, microwave, tea and coffee facilities. It was absolutely perfect for London. Great heating, comfortable bed, and close to Tube and walking distance to most of London's sights. Great eating options in the area too.","I would have liked better pillows. I had to ask for 3. It would be lovely to have nice rubber pillows, something to prop yourself up on whilst reading and something more comfortable to sleep on."
8,"good position, helpful staff, good breakfast",room on the small size
9,"Easy to find, friendly staff, beautiful room with a very comfortable (and massive) bed","when leaving suitcases to pick up later in the day, they were just left in the foyer of the hotel all day. this didn’t seem secure to me at all."
9,Excellent location & friendly helpful staff,"The only negative is the decor needs updating, bathrooms in need of modernisation"
7,Good for underground stations,Poor food
7,Great location and very friendly staff!,"The room was smaller than expected and the lack of a window in the room made it feel claustrophobic, however was fine for a one night stay."
9,great staff and brilliant location,all good
8,"Location was fantastic. Not far from Earl's Court tube station.
There were good food places around
The staff were very friendly and helpful, we had a wifi connection problem and they sorted it asap.
The room was big and well layed out","Beds weren't that comfortable and pillows were not comfortable either
No Chromecast facilities on the tv is a big let down, most hotels have it."
9,"check in was smooth and staff very helpful. Its in an ideal spot near to earls court station. Room was clean and got a good nights sleep, but it was mid week so I cant say how quiet in the weekends.",nothing really comes to mind.
7,"location - few minutes from tube station, plenty of restaurants nearby. Staff very helpful.",Housekeeping was a bit random. our room was not serviced at all on one day but when we complained it was immediately put right. Breakfast was OK but there was no plain yoghurt or freshly prepared fruit.
7,the location was great for the Earl’s Court tube and the staff were friendly. the bed was comfy and I had everything I needed for my stay,Being single I notice every hotel I stay in I get the room with no view ! This view was of a wall but was plenty scope to make it cheerier. the room lighting was also quite dark and the shower tray and dressing table needed an extra clean
9,"The front of house staff were so professional and friendly. The room (217) was very spacious and my request for a bath was accommodated. The breakfast was good too, I was expecting continental but a cooked breakfast is provided. All good quality produce. I would definitely stay again. For the price I paid I think this stay was excellent value for money.",N/A
8,Excellent and friendly staff,Bar could have a proper seating area
8,"In a quiet street. Very close to tube. Good tube line for Kings Cross and central London. 
Pleasant hotel. Helpful staff.","The room is a bit on the small side. It would have been nice to have space for a couple of small comfy chairs. 
Shower room is nice. 
Not a lot of choice for breakfast."
8,very clean and friendly staff,Отрицательный отзыв отсутствует.
8,Location was in a good spot and the value for money was really good for London,Bathroom could do with a bit updating as it's starting to show it's age New shower screen and shower /taps required Fronting needs redojng
8,"Breakfast was offered at a good rate - it proved to be adequate.
The hotel porter was exceptional - his name was Ovi - very helpful, caring and sorted out a problem we had.",Noisy rooms opposite
8,"comfy, clean, decent location for us for work. Ticked all the boxes 👍🏻","nothing, great stay, would use again!"
8,"comfy, clean, decent location for us for work. Ticked all the boxes 👍🏻","Nothing, enjoyable stay 👍🏻"
8,Friendly staff plus a room upgrade.,can get traffic noise early morning if you like the window open.
9,Consistently good service.,Отрицательный отзыв отсутствует.
7,the location was excellent,the room wasn’t ready when we got there and some furniture were a bit dusty
7,Положительный отзыв отсутствует.,"Room was below ground, so no natural light, Room was located next to gents toilets which had a very pungent smell on leaving/entering our room."
8,"Professional, courteous service. Kind and helpful staff on reception and in bar. Very clean. Very good location.",N/A
9,location,the rooms were standard the price extortionate. Also my mum booked it and was going to pay hotel would not accept that which humiliated me had to ask for money from a friend
7,Положительный отзыв отсутствует.,"The bathroom lay out.
The sink too big, no shelves to put cosmetics."
8,"lovely staff, very helpful and accommodating",Отрицательный отзыв отсутствует.
8,"excellent location, very helpful and polite staff, lobby area smelt lovely, very welcoming. Check in and out was swift and efficient. We were allowed to check in before we expected too which was a nice bonus. Rooms nice, shower was lovely. Liked the fridge in the room too, and even a microwave too!","The hotel in general was very warm, need to cool it down a bit for better comfort"
