adjusted_labels,cleaned_text
7,it a fabulous location and very clean and comfortable staff friendly and helpful will recommend it to family and friend just two tiny thing fridge in the room wa not working and i didnt understand that i had to request the room to be serviced but i would definitely stay there next time i am in london
7,location quality of the food especially our evening meal in the turmeric restaurant price bed wa very comfortable excellent black out curtain room wa a little small for 3
8,good location close to restaurant and shop friendly and helpful staff 
7,this is the second time we have stayed at this hotel a the location to the underground local bar and restaurant is excellent the staff throughout the hotel are always friendly and helpful and the food in the restaurant is delicious and reasonably priced we would stay here again not a huge deal but disappointing the chair in our room had a obvious tear in it which so easily could have been repaired
7,location is really convenient nothing
8,fantastic location close to the tube short 5 minute walk to the hotel nice area felt safe had no worry walking at night room wa a good size and well equipped bed wa comfy and good block out curtain would stay here again nothing however there are a few step with no ramp into the hotel which could be tricky for people with mobility issue
8,very convenient location 100 meter to earl court underground station nicely decorated room with iron slipper and everything good breakfast отрицательный отзыв отсутствует
7,such a good location so close to the tube i had a basement room very far away from reception but the room wa still good
6,location to tube bed and room very small
8,centrally located closed to earl court station modern facility great breakfast clean great indian restaurant during the evening and quiet no negative remark
8,i really enjoyed the window view of the street size of room friendly service and amenity in the room london wa perfect in kensington so close to earl court train station slipper would have been nice for the price paid to stay there otherwise it wa a great stay
7,very welcoming greeted at the entrance and helped with the bag staff always willing to help breakfast wa superb with a choice full english fruit pastry toast fruit juice the chef even fried some fresh egg earl court station wa just at the top of the road so it made getting around london very easy through absolutely no fault of the hotel or staff our last night wa spoilt by other guest opening and closing their door repeatedly from 0230 until 0330
8,reception and concierge staff were excellent very helpful nothing
7,location and how modern the room are the bed wa huge but were two bed pushed together which slightly departs
8,the hotel is off the main road in the earl court station area it is a convenient location if arriving on the piccadilly line tube from heathrow airport it is a walkable distance to several museum and park many dining option and shop nearby and high street shopping is close by a well a limited and somewhat dated common area in the foyer but that becomes irrelevant once inside the lovely and clean room
7,staff were absolutely wonderful we felt very welcome and any request wa met with a smile and quickly dealt with nothing
7,updated with a very good location close to earl court station quiet with good breakfast our room had low ceiling and it wa quite dark there wa no view the window were close to other building
7,location staff and food all excellent the smell of air freshener in the corridor
8,short walking distance to earl court railway station close proximity to restaurantspubs needed a few more meal option on the menu
8,the room wa smart and clean and nicely furnished breakfast were excellent and all the staff were friendly and welcoming it wa also very quiet in the room which wa great the location wa close to an underground station with plenty of amenity close by отрицательный отзыв отсутствует
7,comfortable room good breakfast hotel in a good location quiet yet central 3 minute walk to the earl court station отрицательный отзыв отсутствует
8,the room wa just super silent and spacious and well equipped with kettle a well a a microwave must mention the desk with various socket such a hdmi usb audio video and pc plus a very comfortable armchair and the gorgeous bed to my surprise the cupboard provided luxury such a dressinggown and slipper modern shower and washing facility impressed too staff wa just gorgeous a wa the location just a minute or two from earl court underground hard to think of anything but real non sweetened non flavoured youghurt should be compulsory in any breakfast restaurant it wa not provided a far a i could see
8,excellent staff welcome at the door and reception nothing wa too much trouble from storing our bag to changing our room when we couldnt open the window a it had been sealed fir safety reason the room wa clean modern and excellent location just a few minute walk from earl court underground nothing
7,the location is excellent two block from earl court underground lot of restaurant and shopping nearby the property is attractive and the staff were very accommodating the first room we were assigned had many stair to get down to it with no lift the view wa a solid wall mostly underground there wa no remote for the television we asked to be changed and the second room wa much better but very small with quite a bit of traffic noise from the street
7,location close to the tube station wa good the street wa quiet and even though it wa 32 degree heatwave the room were cool special thanks to the doorman who wa very helpful and professional on duty on 7 and 89 the 3 person room wa really tight the third bed wa an extra bed that wa put in a double room for 3 adult it wa a bit unconfortable
8,very good location with very helpful staff great breakfast room cleaning service wa a hit and miss affair with our room with service staff not checking thing like tea and coffee in the room not vacuuming the room not providing clean coffee mug and drink water glass one day the room wa not serviced at all and we found that out upon our return in the afternoon we had to request the room to be serviced while we were in the room after returning from holiday activity we did mention this issue to reception
8,excellent in great location отрицательный отзыв отсутствует
7,staff very helpful and friendly tea and coffee refill available at reception but only 1 teabag in the room not a fan of nescafe very picky i know but a personal choice
7,location particularly staff polite and helpful room perfectly acceptable nothing accepted that london price are high
7,the staff were friendly and helpful the room were clean and comfortable location is great there wa a very strong smell in the hallway of our room it bothered u every time we stepped into the hallway it also took u a while to figure out the wifi sign in everything else wa great
7,staff so helpful location excellent nothing
8,the room were clean bright very comfortable with brilliant air conditioning отрицательный отзыв отсутствует
6,nice clean room and spacious bathroom friendly staff very accommodating for when we needed to leave our bag for the day after check in the underground station is a 2 min walk away lot of shop on the high street we had a staff member come into the room without knocking we also had another guy knocking on the door and greeted u with oh youre still here even though it wasnt check out time yet the room are pretty dark too
8,great staff very helpful nice room very clean location wa great too tube shop all very near close to museum and gallery not much really it wa swell good value for money
8,clean room with maid service after covid people dint always do that the air conditioner would shut off during the night and make the room very warm
7,breakfast wa very good with a fair amount of choice i dont like cold plate to use for hot breakfast
8,very confortable htel very friendly and helpful staff ideally situated 
8,location wa key for u a near railway station nothing to dislike
8,fantastic location the staff were very friendly and helpful the room were good we got changed due to a few hiccup but the result were great i would highly recommend staying here it wa a couple of minute walk to earl court and the station cafe and laundrette the pillow were all stained so we bought or own
8,lovely staff great service very comfy bed отрицательный отзыв отсутствует
8,convenient location отрицательный отзыв отсутствует
8,friendly staff always say hello when they see you and hold the door for you coming in or out room wa more or less underground down a lot of stair had to go outside to make phonecalls
7,brilliant location close to tube and lot of pub cafe and restaurant staff very helpful when air con initially didnt work our room wa on the ground floor with only a tiny window straight out onto the footpath in front of the hotel so lacked privacy we didnt spend much time there so didnt matter too much but meant we had to keep the air con going
8,great location clean and friendly nothing
7,location wa fantastic just down the street from train restaurant and grocery staff were very friendly room very clean and comfortable отрицательный отзыв отсутствует
8,it wa very clean and comfortable there wa a fire alarm at 6 am in the morning a we congregated outdoors and were told that everything wa fine and safe there wa not one staff member that approached u to to tell u what wa going on we approached the concierge to ask what wa happening and when we could go back to our room
8,comfortable property staff very warm and attentivelooking forward to returning the location and staff
8,very close to transport thought the property wa fine no negative thought about it
8,great location lovely staff and great breakfast very reasonably priced for room and breakfast bed wa comfortable and bathroom wa had a big bath and a very good shower less than 5 minute walk from the nearest underground station this really isnt a moan but if i have to say something it would be the view from the bedroom window i stress that we didnt request a room with a view and it didnt bother u at all
6,a friendly welcoming hotel отрицательный отзыв отсутствует
8,everything wa exceptionally clean and felt like new quality room facility friendly staff good location for underground and local restaurant and cafe we were in a windowless room when we checked in but were moved without fuss to a better room i think a deluxe double room definitely isnt windowless
8,great location so handy to tube clean and comfy bed plus all the little touch that mean so much iron ironing board toiletry tissue shower cap toothbrush tea and coffee making and biscuit and fruit hairdryer even microwave and friendly welcoming staff nothing
7,nice staff good breakfast and perfect location i really enjoyed my stay all good
7,very convenient location отрицательный отзыв отсутствует
8,located in a clean and safe feeling area very close to the tube the staff were polite and helpful the breakfast wa excellent and the bed were comfy отрицательный отзыв отсутствует
7,had a great stay would like to have known our room wa about two floor down from the ground floor even at 11 am there wa no natural light everything else wa excellent
8,convenient location clean and comfortable room helpful staff отрицательный отзыв отсутствует
7,location easy access to underground hotel room wa comfortable and the shower wa excellent very clean also nothing i can think off
6,bed wine in room na
7,good service there is a long way to walk to reach our room just like a labirent
8,location good good check in and check out time отрицательный отзыв отсутствует
8,great location helpful staff would recommend отрицательный отзыв отсутствует
7,положительный отзыв отсутствует i think the bar should be positioned differently from the breakfast room
8,location is fantastic staff are professional room wa clean and comfortable отрицательный отзыв отсутствует
7,the location is great and so close to earl court tube station the room wa clean the bed comfy and the shower very good breakfast wa tasty but most of all the staff were all first class helpful and attentive the dark wood in the room could do with updating
7,the proximity of the hotel to the west end and to the museum wa the reason i booked it the room wa very small a little claustrophobic
8,pr de la station earl court 300 m bar ferme 23 h
8,actually this wa a decent place to stay it wa in a great location very short walk to earl court and walkable to lot of great attraction the room wa clean comfortable and the shower great newspaper and fresh fruit available in foyer i would stay there again for sure room wa small but thats london
8,brilliant location short walk from tube station отрицательный отзыв отсутствует
8,staff are excellent very friendly and cant do enough for you food wa excellent отрицательный отзыв отсутствует
7,very good location good price room well equipped with air conditioning fridge and microwave very helpful staff it a little run down
6,nice room and bathroom done to a good standard male member of staff walking in on my wife changing in the room at 9 am in the morning being told we had breakfast when we hadnt
7,liked almost everything clean in every way comfortable room with microwave a well a a fridge and decent tv pleasant staff excellent location for our stay in london very close to earl court underground station and good food outlet m leon pret a manger cafe nero the blackbird pub mcdonalds and within reach of smarter dining location by short taxi journey the only grudge in a near perfect hotel wa that we didnt book breakfast daily originally but decided to take breakfast on our last morning booked in at reception for the meal at 6 pm the previous evening and the booking wa accepted we arrived in the dining room the next morning to be told that we couldnt eat because breakfast wa not part of our booking we explained that a booking had been accepted the previous evening but this wasnt believed i said would you rather we lefty yes came the reply from the restaurant manager we then rang down from our room to reception to explain our embarrassment and ask if the booking had in fact been made no answer to that question but come down now you will be served we went down but again we were refused i got cross then and said fine but this will be part of our review of your hotel suddenly a table wa found and we were invited to choose our breakfast from a very reduced supply such a shame that we were treated without curtesy willing of course to pay extra on our last morning we were charged full price for a less than warm breakfast which included a lot of stress for starter
7,location wa perfect less than a 8 minute walk to earl court station the staff were welcoming and very helpful with our luggage better disabled accessibility to the toilet near reception
7,very clean and friendly a we were travelling for our 30 th anniversary we wanted breakfast in our room on that morning when we asked at reception the lady wa unclear and just suggested we called down in the morning this would have been better if we had been offered a menu to order from a it left it all very vague we didnt want to cause an issue so went down for breakfast a usual
8,super great location near the tube and several spot for food and drink great staff отрицательный отзыв отсутствует
6,location wa pretty good noise and conversation could be heard
7,great location nice room the bed are lumpy and a bit old but they were clean
7,super room and facility fire alarm very early morning 615 ish staff didnt know what wa happening and poor communication with resident so another guest had to make announcement more staff training required
7,location long walk to the room
7,perfect location a a central travelling starting point with earlscourt tube minute walk away plenty of attentive courteous and helpful staff on hand excellent and tasty breakfast choice again with super staff beyond hotel control but some local building work started at 8 am minor detail in overall experience
8,superb location 3 minute walk to earl court underground all staff very polite engaging and efficient room just big enough but comfy and with a great shower wifi wa hopeless and would not load anything drink provision could be more generous one teabag to share
7,very comfortable and overall quiet i wa on the 4 th floor this time with a road view and good light be good to have an opening window
7,facility were all clean and worked loved the bathroom especially the shower had an early dinner in the restaurant and the food wa amazing and very friendly server close to earl court tube station and easy to find problem with the switch on the kettle but reported it on leaving and im sure it will be fixed
8,the friendliness of the staff tea and coffee at breakfast could be hotter
7,mr faheem one of the staff member wa very helpful and wa happy for any assistance отрицательный отзыв отсутствует
8,extremely handy location only a few minute walk from earl court which will get you pretty much everywhere you need to go good value for money too staff very friendly отрицательный отзыв отсутствует
8,staff were erysipelas helpful and friendly very good stay meal in tge research lovely highly recommend this hotel nothing really all good
8,we had a lovely time and the hotel wa really good they made our stay so personable and provided u with complimentary drink and decorated our room for our first year anniversary it wa fantastic the location wa ideal the room wa nice and we had everything we needed friendly staff breakfast ok and great service wa too expensive
7,the bed wa very comfortable the bathroom wa lovely and very clean it wa very quiet at night so we had a good sleep the hotel is very convenient for earl court underground station the staff are lovely and friendly the breakfast selection particularly the fruit and yogurt is a little limited the tea isnt very hot and the toaster isnt very efficient
8,perfect location clean tidy friendly staff bed too small for two person very very weak wifi breakfast menu in 9 day not changed no pancake
8,well appointedv good locationroom lovely if small good breakfast nothing reallystaff were v friendly perhaps more fruitplain yoghurt option at breakfastcoffee could do with being stronger
8,everything just work comfortable bed great shower extra in room that are not in other london hotel in this price range such a selection of fruit tea and coffee bottled water microwave immaculately clean very friendly staff location quiet but close to underground station and lot of eating and drinking option nothing all positive
7,amentities in the room wa great the room being a club room wa expecting the bathroom to be bigger it wa quite tight for a bathroom that had a bath tub in it
8,location and equally peaceful despite room paperwork saying i could get small snack or beverage at any time they refused after 1000
7,great location very helpful staff i arrived too early for check in but i wa able to use the business centre for a meeting отрицательный отзыв отсутствует
7,great location and clean well designed room etc breakfast wa also very good and well worth including in the package отрицательный отзыв отсутствует
7,great location friendly staff room not sound proof woken up by neighbour talking loudly from 8 am it happens
8,location very nice guest oriented staff breakfast offer for vegetarian and vegan non existing
8,no complaint everything wa fine staff very polite and helpful in room everything clean all furniture nice location great very near underground отрицательный отзыв отсутствует
8,breakfast wa great room wa comfortable отрицательный отзыв отсутствует
7,the room wa clean and very comfortable and met our need very well staff welcoming and hard working attention to detail in public area is needed to make this good hotel into an excellent hotel ie grubby carpet in stairway and corridor bench seating in restaurant not finished off properly wood showing paint work and wall in corridor scuffed
7,room wa well appointed with refrigerator microwave iron hair dryer coffee tea maker tea bag sugar cream cooky bed wa comfortable on a quiet side street but just a short walk to tube good indian restaurant on site close to cafs bakery so we didnt have breakfast at the hotel this wa the priciest place we stayed but it wa quite comfortable building ha an unattractive modern facade in the midst of nicer historic building
7,excellent location close to the tube very helpful front desk always looking to help and make helpful suggestion clean comfortable room thin wall between room could be noisy at time
7,staff were very accommodating for my pregnant partner decor a few touch ups required on fitting carpet etc
8,everything wa perfect nothing
7,great location breakfast should be included at the pice
8,breakfast great staff and location great will recommend to my travel agent nothing
7,close to earl court underground which ha direct connection with heathrow wimbledon and central london room have fridge and microwave so you can shop at m and eat in if you want to lovely fluffy white towel and a proper wrap around bath sheet not a skimpy towel given an upgrade at check in but realised this would be in a basement room with no window so declined and reverted to room booked which wasnt a problem windowless room are a choice and shouldnt be imposed couldnt find any reference on the website about some room having no window
7,pleasant and attentive check in staff good sized comfortable and clean room breakfast wa particularly busy on one day and service level were impacted
8,location cleanliness comfort pleasant staff nothing
8,nice property good location easy for the tube into london clean very friendly staffwas quite expensive but i guess you get what you pay forwould definitely stay there again our room wa right next to the big door that separated the corridor so although the hotel is well sound proofed every time someone went through the door it made a loud bang not ideal at 1 ama slow close door would have been better
8,the location friendly staff and a comfortable room the decor in the room could do with a refresh
6,this wa a last minute booking a we decided to stay in london after a day out hotel wa easy to find and a room wa ready around 40 minute after i booked online the hotel wa beautifully clean our room wa a good size for 2 of u with a lovely little box of chocolate on arrival we were shown to our room staff were polite and very helpful although there wa a bottle a water each in our room the mini bar wa not stocked a it wa a last minute booking we had no toiletry with u and there wa no shower gel in the shower only shampoo the breakfast wa average very little selection when comparing to other hotel and although breakfast wa included in the price i ordered a latt which i had to pay extra for considering the price of the room i found the breakfast wa not to a standard i would expect
7,convenient 5 minute walk from earl court tube station good choice of restaurantspubs in the area clean comfortable hotel within walking distance of kensington garden natural history museum and victoria and albert museum whilst the wifi wa free and fast it wa not password protected and the way it wa configured prevented you from establishing a vpn for secure communication this wa a concern
7,central location and pretty quiet excellent staff everyone so helpful special shout out to anna on reception room a little stuffy but ok a you could at least open the window floor level 2 and above are best for natural light
8,lovely staff and very clean modern hotel room were a bit small
8,location and the staff were amazing nothing
7,faheem wa lovely and very helpful great location close to the tube отрицательный отзыв отсутствует
8,location and airconditioning in the room отрицательный отзыв отсутствует
8,it wa clean had a restaurant typical small room for europe but every amenity and comfortable the staff weee extremely accommodating location is superb older building elevator wa small and slow not a big deal there are stair
8,great location comfy bed excellent staff really friendly especially maria on reception отрицательный отзыв отсутствует
7,the room wa very comfortable and quiet the hotel wa extremely handy for the tube station and district line to wimbledon the breakfast selection wa a little limited more 3 than 4 the coffee wa dreadful weak and luke warm nowhere for personal item in the bathroom eg toothbrush or in the bedroom
7,great location and very clean room and bedroom a very good size small lobby area decor a bit dated wifi is open
7,pretty much all good bed a bit small
7,staff were very helpful and friendly great location отрицательный отзыв отсутствует
6,положительный отзыв отсутствует no sky sport available on tv
7,good location nice room room wa in the basement and the way down to it wa smelly and dirty smelled of food and cigarette spoilt it thought it wa expensive for what it wa
8,good location to get into london and on the piccadilly line for heathrow a well so very convenient отрицательный отзыв отсутствует
8,very helpful staffespecially anna at reception bed were comfortable breakfast wa very good room were very clean showerhead wa very good very nice hotel to stay at in central london dinner wa a little bit of a letdown the world option food wa not of good qualityespecially the fish burger option wa also not good a it is an indian restaurant it probably best to choose indian food but for those who dont like this food there is not good alternative option
7,good food отрицательный отзыв отсутствует
7,положительный отзыв отсутствует one of the reception people wa not nice asking me for individual room number when we had several different room that we had to switch when we decided to prolong our stay by no mean could i remember all room number only after insisting that this is not nice and polite the person found all information and prepared the invoice fully i wouldnt have expectation but the price wa not small at all
6,good location for work near a tube station so can get around and load of stuff in the area staff were helpful even when i had to tell them about noisy neighbour playing loud music this wa midweek at about quarter to midnight room had no window so felt very claustrophobic
8,great location great staff and the room wa great 1 block from the underground earl court station 1 train from heathrow and 1 bus from bus station to southampton port easy to get around and see everything отрицательный отзыв отсутствует
8,it wa a well appointed room the food wa cold and not thoughtfully presented the staff made lot of noise cleaning up while we dined
8,clean modern lovely bed отрицательный отзыв отсутствует
8,comfortable room with good facility and quiet the breakfast wa good but would have been nice to have a coffee machine
7,location wa excellent room were clean very pleasant staff wonderful hotel na
8,perfect location and earl court is lovely and lively the hotel just need a bit more renovating
8,great location and great staff bed wa super comfortable and big enough for u to get a good night sleep i furniture is a bit outdated nothing else
8,very close to tube station staff wa very friendly restaurant breakfast buffet wa good i dropped a post card at the front desk to be mailed it never arrived at it destination i am not sure if the staff mailed it a they said they would
7,location wa very good being 2 min from earl court tube stationroom wa very comfortablethe only down side for u wa that the bath wa a bit high and a bit hard to negotiate when showeringand a no hand grip anywhere wa a bit hard to get out of and quite a slippery surface on the base of bath breakfast wa excellentas wa service a above
8,very clean comfortable and in a great position for what we wanted to do fridge didnt appear to be working
6,the hotel wa ideal location for what we were doing had to change room a the first one wa in the basement but then the room wa fine staff were very friendly when i booked i asked about gluten free bread for breakfast they said yes they could accommodate but when i asked at breakfast time they had run out which wa disappointing
8,the bedroom where modern and had clearly been recently refurbished nothing
8,location good close to earl crt underground plenty of eating option отрицательный отзыв отсутствует
8,friendly helpful staff clean and comfortable room goid late check out emailed ahead to ask for room a little earlier didnt get a response or the room earier on arrival but the girl on reception checked u in a managed to get it for u 5 min before
8,положительный отзыв отсутствует the breakfast should have been included in the cost of the room
8,location excellent for my plan comfortable room nothing really significant to report
8,a pleasant hotel offering reasonable value for money отрицательный отзыв отсутствует
8,great location for earl court area lovely hotel appreciated a room upgrade even though we arrived far too early for check in thanks anna on reception excellent breakfast perfectly adequate not biggest selection ever but something for everybody so good we have rebooked for return in a few week nothing really bar grouting in the shower would benefit froma deep cleanrefresh otherwise spotless
8,location breakfast
7,they were so nice to offer me an upgrade on the room because in my last visit i had a room that wa very far from the lobby the upgraded room wa very spacious and comfortable отрицательный отзыв отсутствует
7,положительный отзыв отсутствует aircon could have been better
7,area cleanliness staff were very welcoming price a little high for what it wa
6,all fine and good value for london basement room had no view
8,very satisfied satisfied
6,didnt have breakfast ha to change room a the electric were dodgy they were to change u back to our original room and they had put someone else into it
8,friendliness of the staff and nothing wa too much trouble our room didnt have a windowroom 36
6,room wa nice breakfast wa poor
7,no variety in the breakfast отрицательный отзыв отсутствует
8,staff is very helpful the mattress in room 4 may need to be replaced it sagged a bit
7,such a quiet and peaceful stay staff were helpful and polite walk from reception wa quite far it didnt have a bar a such which wa a shame a we met friend in the lobby so would have been nice to sit at a bar
7,location cleanliness and staff manner nothing really
8,staff very very friendly bed amazing comfortable отрицательный отзыв отсутствует
8,beautiful room easy in and out nothing
7,the staff wa very nice and helpful the second room wa nice and comfortable
7,location is good отрицательный отзыв отсутствует
8,loved the warm welcome reception staff were exceptional and overall the hotel exceeded expectation at breakfast the dining room staff were less friendly and welcoming otherwise our experience would have achieved highest possible score all round
7,fantastic location good value really great to have a microwave mini fridge good quality hairdryer iron and ironing board in the room made such a difference my room wa hot and stuffy even after turning fan on and temperature down carpet were visibly dirty although all other facility were clean
7,yummy breakfast friendly and welcoming staff who greet you with a smile excellent location x great value for money dated new carpet and paine would be amazing
8,location wa perfect very close to the underground for easy access to town the room wa clean and fresh warm tile in the bathroom wa a plus for me because that brought me great comfort a it wa super cold outside when we visited tea and coffee wa provided with a nice view no baggage porter at the hotel so if you are travelling with heavy bag be prepared to carry them up the stair to the reception and push them yourself to the room elevator were really small so wa the room we booked but it wa surprising a it is london lol nevertheless it wa still comfortable and clean
8,check in very smooth i wa able to leave my luggage a my room wasnt available room wa very nice with everything you could need including iron and ironing board and safe отрицательный отзыв отсутствует
7,location to transit very friendly staff id rather have had a room above ground but it all good
7,room very clean and comfortable with all of the amenity you would expect and more microwave and ironironing board full sized hairdryer also very nice complimentary refreshment a well a tea and coffee making facility very impressed location wa perfect for navigating the tube to central london and the sight the breakfast is one of the best we have had anywhere perfect sausage bacon etc with a good choice of bread pastry i didnt like being charged for an extra 4 breakfast when the booking specified breakfast included i booked 2 room each for 2 people for 2 night very disappointed it cost an additional 6000 why would only one person in each room require breakfast very bizarre
6,room a bit on the small side and a bit tired breakfast excellent staff very pleasant and helpful bed and pillow very comfortable nice added extra with chocolate wine and soft drink in the room also tea coffee and biscuit available we had a very pleasant stay a slightly bigger room and chest of drawer
7,excellent location and very clean room friendly staff very slow elevator concave mattress that need to be replaced
8,breakfast wa good with hot item a well a cold one with fresh fruit too room wa comfortable a wa the bed nice hot shower good wifi excellent location to restaurant a laundry and the tube station отрицательный отзыв отсутствует
7,ive stayed here many time and the staff are absolutely great the property need sine cosmetic refurb but the staff compensate for that tired dark wood need brightening up and use of natural light and furniture im sure covid 19 knocked them back
7,excellent staff very attentive and excellent location continental breakfast choice could have had more variety
7,original bedroom wa a little far away for me due to new mobility issue staff were very kind and changed our room the next day to one very close to the lift staff were so helpful breakfast wa excellent and set u up for the day very happy with our stay отрицательный отзыв отсутствует
7,staff were amazing and room is big there wa absolutely no wifi in my room did not contact
8,great location and super friendly helpful staff room wa very expensive for what it wa it wa advertised a a deluxe triple room but wa really a standard double room with a fold up bed added i guess thats london but it wa slightly disappointing
8,room wa of the expected size and comfiortable for two person bed wa actually very good and there wa absolutely no noise coming from the street batroom small but shower very nice and easy to do breakfast wa nice and served efficiently all great so nothing to add here
8,good отрицательный отзыв отсутствует
7,friendly staff and location disorganised breakfast service hot buffet breakfast could have been warmer
8,very helpful friendly staff comfortable bed and air conditioning great very good breakfast in the restaurant we had a beautiful indian meal and price were excellent for central london the hotel wa full yet still quiet in our room on the top floor sound proofing wa very good so we slept well lovely bathroom bright and very clean a menu for the restaurant in our room would have been useful but everything else wa brilliant
7,the room wa excellent and the reception staff were always very helpful i think the breakfast restaurant service wa poor and lacked leadership and coordination
7,lovely quiet street very convenient for public transport convenient for place to eat without going far comfortable courteous staff willing to help the room wa rather small would have been good to be able to relax in 2 chair bathroom wa very small bigger fluffier towel would be nice
6,very clean close to tube station good size room didnt find the front of house staff overly friendly they were not rude but not cheerful either
7,location front desk staff in particular anna maria and maxim at the door clean room value for money room wa warm and ac didnt work coffee and tea service at breakfast wa not done well by weekday staff
8,the staff wa very helpful the shower hot powerful the location excellent with a tube station very close отрицательный отзыв отсутствует
6,good selection of food at breakfast the room wa comfortable and cool thanks to the very effective air conditioning the bed were comfortable and the hotel wa quiet at night the staff were very accommodating and helpful there wa no explanation when we arrived for breakfast i would have expected to be shown where the food wa told when to go up for it etc we werent asked if we wanted tea or coffee and had to chase someone down whilst we were eating breakfast to get some unfortunately despite being told on arrival that our room wa a twin when we got to the room it wa actually made a a double the staff made quick correction with this and changed it over for u
8,staff were all nice and helpful electrical socket u did not function very limited access to power outlet hair dryer did not blow hotwarm only cold
8,the staff were polite warm and welcoming the room wa a described and exceptionally clean the complimentary drink in the club room booked were a lovely touch отрицательный отзыв отсутствует
7,location location location the hotel is very close to earl court stop i stayed on the 5 th floor which wa great had lot of light the shower wa strong and the bed wa comfortable the wifi wasnt very strong or reliable
7,the staff were friendly and very helpful the location wa excellent being so close to earl court tube station and within easy walking distance of knightsbridge we were upgraded to a very strange room in the basement on our first night however after expressing our disappointment with it we were put back in the club room we had booked the next day
6,the hotel is well located and is quite clean i think the furniture wa old and needed some investment but toilet were new and clean the bed and pillow were not very comfortable though but i cannot complain because everything wa is order and sparkling clean the furniture is old and the room are slightly smaller tham needed but it okay
7,anna on reception greeted u on arrivalshe wa very friendly and smiley she gave u clear information about the hotel and our room the restaurant staff were also very polite and friendly the food wa very good too the hotel had messaged me to advise parking at the nearby marriott hotel this is not good advice this car park only ha 8 space they are filled by local worker the staff at the marriott hotel were very helpful it is not their carpark after a journey from the midland this wasnt what i needed i then had to find alternative car parking in kensington
7,excellent location quiet street 5 min walk from earl court tube station also an easy walk into knightsbridge nothing at all
8,staff were the main reason they are proactive helpful and always friendly отрицательный отзыв отсутствует
7,great location very close 3 min walking to 2 of the major london tube line the personnel is very kind and helpful room are small but very confortable отрицательный отзыв отсутствует
7,felt valued from the very start from bag being taken for u to room and everything explained to u and friendly welcome each time you reentered the hotel lift very effective androom very comfortable with air conditioning and heat adjusted to one own liking bed comfortable and shower excellent all nicely boutique with various socket for plug device etc great location near to underground and restaurantspubs and m food store for all eating requirement it seemed almost perfect and almost wa only drawback wa with breakfast at first it seemed pretty good although limited option compared to many other similar establishment cooked limited but tasty enough staying 4 night i wanted a little variety like an omelette or poached egg on toast scrambled wa the default egg offering noone mentioned an option there wa however you had to know to notice the chef ask him and stand and wait for two poached egg meanwhile toasting your own bread and awaiting the egg my only fortee into other egg option wa a big disappointment a both poached egg were party raw egg white inside this disappointment wa only matched when reporting my feedback to the hotel their response wa that it wa sub contracted to others
8,great value good location отрицательный отзыв отсутствует
7,положительный отзыв отсутствует pigeon outside window
7,the room and ensuite were lovely and clean the bed big and comfy towel soft and fluffy close to underground and local shop but far enough away to be quiet after asking about plant based option for one of our party we were advised there wa not really anything suitable so we couldnt have a nice leisurely breakfast before booking out not a huge issue for u but may be for others
7,great location small bed
8,friendly staff отрицательный отзыв отсутствует
8,good value and a great location close to earl court tube staff were very friendly and helpful отрицательный отзыв отсутствует
8,good location tube only 2 min walk away and other key attraction only 30 min walk park 10 min away pillow were hard and not able to change
7,helpful staff nearby tube station good room size breakfast wa ok but fresh fruit salad and yogurt would be good
8,they were very obliging and very helpful to our situation under our circumstance it wa perfect
7,all the staff were lovely and very helpful nothing wa too much trouble for any of them breakfast wa very good and plentiful location wa also very good for getting the tube to see the sight of london and also for getting to the east end отрицательный отзыв отсутствует
7,location friendly staff size of the bed too small
8,great location good value clean and comfortable a little bit noisy we could hear loud piping noise when the room upstairs wa taking a shower and noise from the street
7,the room wa quiet very comfortable and well equipped also with coffee and tea facility and a microwave and fridge located in an old building but modern and well decorated very good breakfast for london average lovely staff 3 min walk to subway earl court near restaurant pub i booked a deluxe duble room but it looked like the smallest room in the floor any way for london nowadays it worth the money
8,great breakfast close to tube отрицательный отзыв отсутствует
7,a convenient but quiet location comfortable room and excellent breakfast at an affordable price the staff were generally helpful but it would have been useful if the person who ordered our minicab had known where park lane is
7,very well located 5 min walk to earl court tube station kensington high street also easily accessible by foot staff were excellent and very accommodating of all of our request we were initially placed in a room in the basement while the staff arranged for a different room the next day without any issue it wa not obvious to me when booking the room that there wa a possibility of u being underground
7,very conveniently located near the tube with direct line to the airport also close to many eatery and shop the hanger mirror and sink are too high for my asian built of 5 ft 2 inch
8,it wa a very comfortable stay for u and we have already booked again for july 2023 the location of the hotel is brilliant very close to earl court underground station the staff wa so friendly the breakfast wa very nice отрицательный отзыв отсутствует
